FL_DATE,UNIQUE_CARRIER,AIRLINE_ID,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,DISTANCE
2015-01-01,OO,20304,OO,2590,14679,1467903,33570,SAN,12892,1289203,32575,LAX,1930,2053,83.00,12.00,2105,2129,8.00,2020,2137,77.00,0.00,,0.00,109.00
2015-01-01,NK,20416,NK,567,11433,1143302,31295,DTW,10397,1039705,30397,ATL,0640,0638,-2.00,10.00,0648,0813,10.00,0834,0823,-11.00,0.00,,0.00,594.00
2015-01-01,NK,20416,NK,571,15304,1530402,33195,TPA,11697,1169703,32467,FLL,0825,0818,-7.00,11.00,0829,0908,7.00,0928,0915,-13.00,0.00,,0.00,197.00
2015-01-01,NK,20416,NK,574,11697,1169703,32467,FLL,15304,1530402,33195,TPA,2055,2100,5.00,16.00,2116,2151,7.00,2155,2158,3.00,0.00,,0.00,197.00
2015-01-01,NK,20416,NK,734,11298,1129803,30194,DFW,11433,1143302,31295,DTW,1955,2001,6.00,16.00,2017,2314,10.00,2318,2324,6.00,0.00,,0.00,986.00
2015-01-01,NK,20416,NK,742,11298,1129803,30194,DFW,13487,1348702,31650,MSP,0620,0625,5.00,15.00,0640,0831,3.00,0839,0834,-5.00,0.00,,0.00,852.00
2015-01-01,NK,20416,NK,747,13487,1348702,31650,MSP,11298,1129803,30194,DFW,2001,2016,15.00,12.00,2028,2246,11.00,2230,2257,27.00,0.00,,0.00,852.00
2015-01-01,NK,20416,NK,761,13930,1393003,30977,ORD,13487,1348702,31650,MSP,0905,0906,1.00,17.00,0923,1026,3.00,1030,1029,-1.00,0.00,,0.00,334.00
2015-01-01,NK,20416,NK,762,10397,1039705,30397,ATL,13930,1393003,30977,ORD,0926,0926,0.00,15.00,0941,1018,5.00,1025,1023,-2.00,0.00,,0.00,606.00
2015-01-01,NK,20416,NK,763,13487,1348702,31650,MSP,12889,1288903,32211,LAS,2204,0012,128.00,9.00,0021,0100,5.00,2329,0105,96.00,0.00,,0.00,1299.00
2015-01-01,NK,20416,NK,763,13930,1393003,30977,ORD,13487,1348702,31650,MSP,1948,2150,122.00,14.00,2204,2304,25.00,2114,2329,135.00,0.00,,0.00,334.00
2015-01-01,NK,20416,NK,770,10397,1039705,30397,ATL,11433,1143302,31295,DTW,1445,1448,3.00,13.00,1501,1630,15.00,1641,1645,4.00,0.00,,0.00,594.00
2015-01-01,NK,20416,NK,777,11697,1169703,32467,FLL,12889,1288903,32211,LAS,2009,2010,1.00,14.00,2024,2213,7.00,2241,2220,-21.00,0.00,,0.00,2173.00
2015-01-01,NK,20416,NK,779,12953,1295302,31703,LGA,11697,1169703,32467,FLL,1940,1959,19.00,9.00,2008,2240,6.00,2250,2246,-4.00,0.00,,0.00,1076.00
2015-01-01,NK,20416,NK,788,12889,1288903,32211,LAS,11433,1143302,31295,DTW,2315,2328,13.00,13.00,2341,0600,11.00,0606,0611,5.00,0.00,,0.00,1749.00
2015-01-01,NK,20416,NK,801,11433,1143302,31295,DTW,13204,1320402,31454,MCO,0818,0816,-2.00,12.00,0828,1033,10.00,1100,1043,-17.00,0.00,,0.00,957.00
2015-01-01,NK,20416,NK,804,13204,1320402,31454,MCO,11433,1143302,31295,DTW,1140,1133,-7.00,11.00,1144,1359,16.00,1417,1415,-2.00,0.00,,0.00,957.00
2015-01-01,NK,20416,NK,810,13495,1349503,33495,MSY,11433,1143302,31295,DTW,1125,1110,-15.00,11.00,1121,1420,8.00,1455,1428,-27.00,0.00,,0.00,926.00
2015-01-01,NK,20416,NK,812,11298,1129803,30194,DFW,15304,1530402,33195,TPA,0818,,,,,,,1134,,,1.00,B,0.00,929.00
2015-01-01,NK,20416,NK,813,15304,1530402,33195,TPA,11298,1129803,30194,DFW,1922,1958,36.00,10.00,2008,2122,9.00,2108,2131,23.00,0.00,,0.00,929.00
2015-01-01,NK,20416,NK,815,13930,1393003,30977,ORD,13495,1349503,33495,MSY,0815,0814,-1.00,13.00,0827,1024,5.00,1043,1029,-14.00,0.00,,0.00,837.00
2015-01-01,NK,20416,NK,816,12266,1226603,31453,IAH,13198,1319801,33198,MCI,0918,0931,13.00,17.00,0948,1112,5.00,1109,1117,8.00,0.00,,0.00,643.00
2015-01-01,NK,20416,NK,816,13198,1319801,33198,MCI,11433,1143302,31295,DTW,1200,1207,7.00,8.00,1215,1437,11.00,1448,1448,0.00,0.00,,0.00,629.00
2015-01-01,NK,20416,NK,817,11298,1129803,30194,DFW,12889,1288903,32211,LAS,2310,2348,38.00,12.00,2400,0020,4.00,0006,0024,18.00,0.00,,0.00,1055.00
2015-01-01,NK,20416,NK,832,12266,1226603,31453,IAH,13204,1320402,31454,MCO,0720,0732,12.00,12.00,0744,1027,7.00,1030,1034,4.00,0.00,,0.00,854.00
2015-01-01,NK,20416,NK,845,11433,1143302,31295,DTW,11697,1169703,32467,FLL,1740,1738,-2.00,10.00,1748,2014,8.00,2046,2022,-24.00,0.00,,0.00,1127.00
2015-01-01,NK,20416,NK,847,12953,1295302,31703,LGA,13930,1393003,30977,ORD,0830,0916,46.00,14.00,0930,1042,9.00,1008,1051,43.00,0.00,,0.00,733.00
2015-01-01,NK,20416,NK,847,13930,1393003,30977,ORD,11292,1129202,30325,DEN,1109,1136,27.00,12.00,1148,1259,14.00,1251,1313,22.00,0.00,,0.00,888.00
2015-01-01,NK,20416,NK,858,12266,1226603,31453,IAH,11697,1169703,32467,FLL,1400,1359,-1.00,7.00,1406,1701,6.00,1724,1707,-17.00,0.00,,0.00,965.00
2015-01-01,NK,20416,NK,858,14679,1467903,33570,SAN,12266,1226603,31453,IAH,0800,0752,-8.00,10.00,0802,1241,10.00,1258,1251,-7.00,0.00,,0.00,1303.00
2015-01-01,NK,20416,NK,863,12898,1289803,32898,LBE,13204,1320402,31454,MCO,1752,1743,-9.00,9.00,1752,1947,5.00,2015,1952,-23.00,0.00,,0.00,824.00
2015-01-01,NK,20416,NK,867,11298,1129803,30194,DFW,12892,1289203,32575,LAX,0715,0712,-3.00,10.00,0722,0815,8.00,0836,0823,-13.00,0.00,,0.00,1235.00
2015-01-01,NK,20416,NK,868,12892,1289203,32575,LAX,11298,1129803,30194,DFW,1934,1930,-4.00,9.00,1939,0013,7.00,0022,0020,-2.00,0.00,,0.00,1235.00
2015-01-01,NK,20416,NK,872,13796,1379603,32457,OAK,13930,1393003,30977,ORD,0838,0829,-9.00,7.00,0836,1432,7.00,1444,1439,-5.00,0.00,,0.00,1836.00
2015-01-01,NK,20416,NK,877,10397,1039705,30397,ATL,11697,1169703,32467,FLL,1015,1029,14.00,8.00,1037,1201,7.00,1213,1208,-5.00,0.00,,0.00,581.00
2015-01-01,NK,20416,NK,878,13204,1320402,31454,MCO,12898,1289803,32898,LBE,1455,1450,-5.00,11.00,1501,1655,5.00,1710,1700,-10.00,0.00,,0.00,824.00
2015-01-01,OO,20304,OO,5306,12892,1289203,32575,LAX,14689,1468902,34689,SBA,1010,1007,-3.00,21.00,1028,1051,3.00,1055,1054,-1.00,0.00,,0.00,89.00
2015-01-01,OO,20304,OO,5309,14771,1477101,32457,SFO,13891,1389101,32575,ONT,1048,1042,-6.00,20.00,1102,1200,2.00,1206,1202,-4.00,0.00,,0.00,363.00
2015-01-01,OO,20304,OO,6286,14689,1468902,34689,SBA,14771,1477101,32457,SFO,1027,1023,-4.00,12.00,1035,1149,5.00,1152,1154,2.00,0.00,,0.00,262.00
2015-01-01,OO,20304,OO,2588,12892,1289203,32575,LAX,14570,1457002,34570,RNO,1215,1210,-5.00,16.00,1226,1332,6.00,1340,1338,-2.00,0.00,,0.00,391.00
2015-01-01,OO,20304,OO,2588,14570,1457002,34570,RNO,12892,1289203,32575,LAX,1410,1406,-4.00,31.00,1437,1536,11.00,1540,1547,7.00,0.00,,0.00,391.00
2015-01-01,OO,20304,OO,5363,13891,1389101,32575,ONT,14771,1477101,32457,SFO,2011,2027,16.00,14.00,2041,2138,16.00,2135,2154,19.00,0.00,,0.00,363.00
2015-01-01,OO,20304,OO,5363,14771,1477101,32457,SFO,13891,1389101,32575,ONT,1615,1609,-6.00,20.00,1629,1725,3.00,1733,1728,-5.00,0.00,,0.00,363.00
2015-01-01,OO,20304,OO,5364,13342,1334205,33342,MKE,13930,1393003,30977,ORD,1525,1520,-5.00,22.00,1542,1604,10.00,1615,1614,-1.00,0.00,,0.00,67.00
2015-01-01,OO,20304,OO,5364,13930,1393003,30977,ORD,13342,1334205,33342,MKE,1157,1152,-5.00,18.00,1210,1229,5.00,1245,1234,-11.00,0.00,,0.00,67.00
2015-01-01,OO,20304,OO,5365,12892,1289203,32575,LAX,14698,1469802,34236,SBP,1050,1300,130.00,17.00,1317,1353,3.00,1149,1356,127.00,0.00,,0.00,156.00
2015-01-01,OO,20304,OO,2578,12892,1289203,32575,LAX,14831,1483103,32457,SJC,2125,2201,36.00,10.00,2211,2302,4.00,2235,2306,31.00,0.00,,0.00,308.00
